,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
46,bQ2NcgfJATBZRWRnp0FTRSIwDLulI1L-pJViMC0f-pYvHDU,_0HWr51JTsA1qdEWm3xgi3BKxsfnCAb2UnVb2fGgBXOq8mk,reCYXZQBJqQ6zgb7HQlNXCvIGtNuEGgar4kdHbAMjJcu6QhufsKRVwKmQqWF_rrD9ct7TmnQEvWZpg,Ambrose K4,3102,1558474123000,45
47,5SSBGY0_LNUa6xith-rFsN0O8XEU0ewu2bcS4zPxrtikEBQ,lDoyHZrw6IiDVp74cFwIgvolVEFm9nb_BL0pwWQ_dE1sJ9o,sm4L8ZzZ0GI4bwWn7q-V_JXHj80uf8v8ZeJ7PutukXxDPogkI48blRkGcVgszrLHgERSb_UpWQh82A,on god bro,3858,1558971751000,140
48,-rG4ieSVTMKb6K4ZGcrS5KuwSeDJ17hNy3Hw1sjN98yLvkc,NiPV6YiA_Jf59xfqqIO5V0eMoGpUB9cWgyqE3Mcmwz1Nxb8,aX0Yl8ZdQk3zoZ4oPp-qmUqXJsOfoF3TstfP2BR8bYM79zobtWEsOVZJvS07tc69uAE-OlGEhSaVVg,That Cubanito,746,1558472274000,139
49,8Z50vGfevUiFcwsTN1Njm7rlsX1A4wzPevU4-NKJI4OzodI,8AT6y3h-V_3Y7T0c9m-b-6OJXfcV2TTncMt36YyRyynEqT0,b6OUffHUTTEnT3QLzQWEkdX5-qnyP6yisMLPOFTCQ6mpzLROY1lY0S-v6RwIVn_b5Xy2HuBWCt1QDA,Purklo,4100,1558922906000,63
50,dWjGl3xl2xL0wZ45bMHHyhNbKRtlUr2uj3jvjWVTn_1Vd0k,QfeZQ6Renu5FfMpid1Bl9IgzDA5zbB-NNw5Tb7KAQ3CZOg,pgEuJOXedVwAgduJ8wnnCE1HR6xW7qFjyXaJPsIcsYAZiKkbPAWel5aUTC3a4YtaXu-bPrSYFaA38w,Yui Best GirI,1637,1558932811000,60
51,b6C8-Kyc5xEfQZmFIT5cebjauLoavBvpvb1Ixyae7Hx8oGg,fLBEPcAF7Md8NXAO64EFglY-9Wj87lVLdS2FK9JJgWhE2Wc,_86XeHgarrl6Dfsl5RLyvpmJAsTMQgqXZq9UcopzfNQQSRa0TEjVKe32ejsOLV1SUemdYcOz3jhNlw,eat deez nuts,4086,1558934289000,173
52,3NQzTM0lzTqFFswIr5vb95x6WEKbsJyRRpD7rCyQ_lkjGU8,iorxHnHhyls1FQ4GYPlznZDSBW5zKG7fZpjMMrN1RcMUew,XfKL_E8C0v2d-nR0ooORNbDGePdpVS9wVZ3KTVZYbbz1bKAHQIhXbbedi2PWyQMFNPJtgsr0SbfM2A,Only Cigar,3712,1558938165000,120
53,-i0QMSBiJnwm2_kI9nyvM4o0Y-Q7nCWK9HFSRooCG2e7duc,rlV8qbYQoyXNVr0rvT8eqZOzoNxMC0ViS3pIEF0RzW04gB8,cj4N3_Vi_yeVTSCR-3ON-QwkplunSZiv-TcGApm21Q0Eh1AkOpcOZSz2EcN4hcNeFnjkW_KiB5Qdfg,Ensename Quas,3553,1558501139000,42
54,NoQ97VSfE931M_1q-bns-Da8FQy-mVAQQhS_FSBk_3XMJ2w,SA46KOMiYxZabdU5lNVgdg7ZXFh04e_cevVHRnTt0aLZFzE,RMmrIeUcpyUXPFVHVjrVohzOWZvf3bdTyBhKVv4QbGTkjIKjJPVPs8f9Cz2m-LePjmEaIJ1fxnmlOw,Leblunked,7,1558968242000,48
55,R1E80Nhspyvq9Wsp-PReWmhhQZ47H9D5-czhOlgMcdMFc_I,4xxfXZqnQ6qP2O17Fh8IKumpbbDjxkvdpNE4adswDMS7Z4Q,YXHmCcxzhbX-iGiQEF2HqxZyYJq1V1oNwftACcbx-NZwuWoKWUERcJL5BC_cqgVE_9oLmTDD0QyPDw,Mvu,3553,1558756553000,80
