id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,c1,c2,c3,c4,c5
wat1QLe74T92zgKV4C-ev487r0TQJxpZEXT27Rp5-9-VFJI,y04luT6sspkVL0nn8jt4zTjldsocv_lR1sCCJbKa6Y9-kg,9YDAphfIxMzb2nxSjV56ayVSObOPsZ18BHZkf8qIkuxttgF6ao3NRmFkseISChooXKASpVPijdexqw,Groedius,3632,1550181075000,31,,,,,
-DoGABqgjYIf81EVF_65xOuEooAxpS_LQPfwwnYH6kdre2Y,gSyeR43OvWAgnwlz7O6QDm9m0_6okplEKDXvJCCo4aKoA7c,nzTYWlyIeLQHl5R1AbbUHJtvUFzMWVDDvLG1bl88iLy0aTgnVQmt860ZP7LNZjXdgbP5bb6r4hG2KA,TK Trismegistus,3013,1558999131000,42,,,,,
yYvh8r8BXwZ8nRUQrJQJOodGj5gkHANL7qag7L1_H66lACM,XQXqK-orzLRGhuNpc1FMtVZ30szbGaVgEM6-PpHEvwi-sA,1yWcyBHAinTIcOxqNRKZqHacKO6t1_UM7CuVplZ9tez-2cWmiX61kYf_0sgASzg4zpd1UWq2hM3ahw,RyuDeception7,659,1557626410000,31,,,,,
b2DmG4_VPRymyoux63pYgABvdkh4p26XDSuvGzd7BWVndns,vGWs5KZu3hdfAcEiHAytU8V3fkKEzhItnL3OcGLCzvmGwks,5w_Rog0fBeM38EWjKeSWcoT5GD9RA3XMWpCZHZm-oY7sRuG2g1skrogciBFEAi6Gk6eXgAIRd_XtYg,Dolores Umbridge,3167,1558991706000,59,,,,,
4B6ylQH7BgoqOIJTY_rdnFJ3FQ-vMH374dfaBp8Ghm-npMI,q9XVxbGmGfNRbwButqYcmiThgkAwomYcduiUS5dFPNw5BUI,-8_FTufy7hHzqWjkAXXykFvUme2JOzt3NViY9MvG-yeMEchMqKoF2aglmCT59oWIU-dZ2MXr6eGrAg,DeezNutz15,3898,1550941224000,38,,,,,
OujUk4bH114yjaVjm-aACQqnP_yFQ_CuJG_ZwibHoh1wJtc,hQghfCTUKi1Oz4JTvCwz_dKJDIPWcN1TKE59RwdKxItrkyHgMzCifbFY,DIYOi39qVUKADsPOaucmke4Qb-fIk0EJ7S7v3NvoyAR1FtqKOdo8p0LZ_hdqmfj4sPyiZQDVF8uyAA,DZASTR,4086,1558143110000,101,,,,,
6hpwuo1QOryuHXLHo93cPm6-Cgw5FsXbqToqZ3RoMNHhdqk,S46z-JBM-HFGrULIKPLJpgJM1gKhuNxLA5t7HWbLOv_xab4,yquESr25hpjVB0Y0624CBQkQf4YboHA2Qy66hdw5FtqQX7yn36J5mGidVOGMfF7GHvVg7j9LYLgqqw,BIGTRELLY,3553,1548618471000,69,,,,,
JvKy_ieaaasHsEEcvQCB647jgF7b-sSEXtZ2bxaCQkuNyhY,0ZJytzzf61c0ELJmRIcDCHWaioe9oxt5mjat3ImTgMCJlw,2E4zAWkx7gF9Q4J4eXFtY_hJYFKKdEM1prYLxRR_0__F_o2dZz00S3zVFSUK5ArhdRPwkmLMxKfXKQ,milanello,3014,1558725158000,65,,,,,
wNbMIDGU84Dl9yJv0RQSzUYcHGXVljo1jNQXmjkwejIK85k,oVuLxGAB8YZZlMX38akHJcuNsnotgk_CdxaBz6ea5Wj-ZqE,HhLiDgyhSfpCu3Q_r_UifanWBQcxa6MO1f_No3HSHV_pKkEPvKp29UDz4e65M7gI2E38aCx3NIYRuw,SaltyFries12345,3024,1558996383000,41,,,,,
d5ZKAPc1JKAwxXmJECwrYBPyvK_Kd0HDUdKE-zSaNmgS7JE,QzltpiUZviqfxwzWo4pKlPcqs3Yt6QpslVqdj6qDowjPmQA,AINNl7tTCzuQ6IuKriBsRI-R2JevVjG98MYoKuyqnPO6vfn47VN8IoJid12P_IcJwYV4b4WQEQaG7A,DriveOrDie,23,1558966973000,212,,,,,
zApBIavcOtNxYqc_kDSu-IjpUCEORGQs48ipCPVaK5ItLUo,KkgoWejUkypx-hiKtRzyz-4-c_RDO4qOo6TAwCYmSfVp-tw,7GSb0JNV0gRY7CmUtwEf3VhHEzfblVpUgozIKnSc0c5t20fr8liAc9mjFFu9cfp6NqroqG-BXw_43w,Pumpkiinxx,1428,1558299569000,56,,,,,
Getw9IXHeSJ1jgIj8wmC0sJu8l0IqVBwVHc4gHgg79vHn1Q,OFZr2hFCypw-kMcfS0KS9Nq5zByJsE78Hg3r7XOX0nuG5sE,YSpbfy4Vem7jLWxJkWARwMGYj1mgyc-afyzPSxQYKQRMzWPrsHvko3XPvq1gwuLLKDOGi4x_ghSijg,sirsoma,3014,1549168994000,34,,,,,
e_PYD9wilmKaSAfgvkLDvLjiX_Bp6aM_XPrMVYd938CsvB8,GFddQQO-CKGJBywJXb-A10RJB9ZjqMAGkaDqNSFW1MMam18,-sqpyWvpz-_ZkctUE4W_P9ikiwPvaJKYBbBodHxQVPogGl_yeD6M9F4PACC3RZO4a6y3Aig9Jwx-0w,DeadKnight67,4080,1558981408000,80,,,,,
2_AvNSGzS_1KSEOa2GzQt-XLAHYSuHUJppxIodQKx77H_sU,_fibFhltimvz3K46AyRlBbbfQ01I6j5jsEkwsYOy_7DpeA,7w6QoycVvpy_Ez897XAZv0YP2vNzlmrva9EkVKJRlI4VdYNVEc3kfOiGj4ZMd8qBf-hWKAWlkXjZMw,NightRaven703,4086,1558282523000,113,,,,,
